Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TERM 3 - MY ORDER (COMPLETED) - WEB,Chrome 113.0.0.0,,,2023-05-28 19:40:07,2023-05-28 19:40:35,28.179s,PASSED
,,,,,,,
Test Cases/TERM 3 - MY ORDER (COMPLETE) - WEB,Chrome 113.0.0.0,,,2023-05-28 19:40:07,2023-05-28 19:40:35,27.989s,PASSED
"openBrowser("""")",Chrome 113.0.0.0,,,2023-05-28 19:40:08,2023-05-28 19:40:10,2.019s,PASSED
"navigateToUrl(""https://staging-belleandkate.netlify.app/"")",Chrome 113.0.0.0,,,2023-05-28 19:40:10,2023-05-28 19:40:14,4.269s,PASSED
maximizeWindow(),Chrome 113.0.0.0,,,2023-05-28 19:40:14,2023-05-28 19:40:14,0.204s,PASSED
"click(findTestObject(""TERM 1 - FORGOT PASSWORD - WEB/Page_BELLE  KATE ROOM/Icon_Login""))",Chrome 113.0.0.0,"Login
",,2023-05-28 19:40:14,2023-05-28 19:40:15,0.609s,PASSED
"setText(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/input__css-11aywtz r-6taxm2""), ""ibnu.aviandi@yahoo.com"")",Chrome 113.0.0.0,Correct Email,,2023-05-28 19:40:15,2023-05-28 19:40:16,0.814s,PASSED
"setEncryptedText(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/input__css-11aywtz r-6taxm2_1""), ""nG7mAKimZ+tKdK+1F9V+dw=="")",Chrome 113.0.0.0,Correct Password,,2023-05-28 19:40:16,2023-05-28 19:40:16,0.514s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/div_Login""))",Chrome 113.0.0.0,,,2023-05-28 19:40:16,2023-05-28 19:40:17,0.508s,PASSED
"click(findTestObject(""TERM 1 - FORGOT PASSWORD - WEB/Page_BELLE  KATE ROOM/Icon_Login""))",Chrome 113.0.0.0,,,2023-05-28 19:40:17,2023-05-28 19:40:18,1.489s,PASSED
Url_MyOrder = getUrl(),Chrome 113.0.0.0,,,2023-05-28 19:40:18,2023-05-28 19:40:18,0.019s,PASSED
"verifyMatch(Url_MyOrder, ""https://staging-belleandkate.netlify.app/account/orders"", false)",Chrome 113.0.0.0,"Assert the URL of My Order Page
",,2023-05-28 19:40:18,2023-05-28 19:40:18,0.018s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/div_My OrderAll transactions""))",Chrome 113.0.0.0,Verify Menu My Order,,2023-05-28 19:40:18,2023-05-28 19:40:19,1.119s,PASSED
"click(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/div_Account DetailsAccount InformationMy Ad_716fd2""))",Chrome 113.0.0.0,Click one of the order,,2023-05-28 19:40:19,2023-05-28 19:40:20,0.343s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/div_All transactions""), STOP_ON_FAILURE)",Chrome 113.0.0.0,"Verify menu All Transaction is visible
",,2023-05-28 19:40:20,2023-05-28 19:40:20,0.339s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/span_My Order""), ""My Order"")",Chrome 113.0.0.0,Assert the menu of My Order,,2023-05-28 19:40:20,2023-05-28 19:40:20,0.334s,PASSED
"verifyElementText(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/span_All transactions""), ""All transactions"")",Chrome 113.0.0.0,Assert the menu of All Transaction,,2023-05-28 19:40:20,2023-05-28 19:40:21,0.310s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/div_ChanelChanel 12Rp250,000,000CompletedOr_d2ae19""))",Chrome 113.0.0.0,Verify the 1st order is visible,,2023-05-28 19:40:21,2023-05-28 19:40:21,0.306s,PASSED
"verifyElementVisible(findTestObject(""Object Repository/TERM 3 - MY ORDER - WEB - Automation/Page_BELLE  KATE ROOM/img""))",Chrome 113.0.0.0,Verify the image of item is visible,,2023-05-28 19:40:21,2023-05-28 19:40:21,0.337s,PASSED
